[["Cardinals","Saints","false","20","13","1","2025-09-07 12:00"],
["Buccaneers","Falcons","false","23","20","1","2025-09-07 12:00"],
["Panthers","Jaguars","false","10","26","1","2025-09-07 12:00"],
["Bengals","Browns","false","17","16","1","2025-09-07 12:00"],
["Dolphins","Colts","false","8","33","1","2025-09-07 12:00"],
["Raiders","Patriots","false","20","13","1","2025-09-07 12:00"],
["Giants","Commanders","false","6","21","1","2025-09-07 12:00"],
["Steelers","Jets","false","34","32","1","2025-09-07 12:00"],
["Bears","Lions","false","21","52","2","2025-09-14 12:00"],
["Jaguars","Bengals","false","27","31","2","2025-09-14 12:00"],
["Giants","Cowboys","false","37","40","2","2025-09-14 12:00"],
["Patriots","Dolphins","false","33","27","2","2025-09-14 12:00"],
["Falcons","Panthers","false","0","30","3","2025-09-21 12:00"],
["Bengals","Vikings","false","10","48","3","2025-09-21 12:00"],
["Packers","Browns","false","10","13","3","2025-09-21 12:00"],
["Texans","Jaguars","false","10","17","3","2025-09-21 12:00"],
["Raiders","Commanders","false","24","41","3","2025-09-21 12:00"],
["Steelers","Patriots","false","21","14","3","2025-09-21 12:00"],
["Jets","Buccaneers","false","27","29","3","2025-09-21 12:00"],
["Browns","Lions","false","10","34","4","2025-09-28 12:00"],
["Browns","Ravens","false","17","41","2","2025-09-14 12:01"],
["Bills","Jets","false","30","10","2","2025-09-14 12:01"],
["Rams","Titans","false","33","19","2","2025-09-14 12:01"],
["49ers","Saints","false","26","21","2","2025-09-14 12:01"],
["Seahawks","Steelers","false","31","17","2","2025-09-14 12:01"],
["Colts","Titans","false","41","20","3","2025-09-21 12:01"],
["Rams","Eagles","false","26","33","3","2025-09-21 12:01"],
["Commanders","Falcons","false","27","34","4","2025-09-28 12:01"],
["Saints","Bills","false","19","31","4","2025-09-28 12:01"],
["Panthers","Patriots","false","13","42","4","2025-09-28 12:01"],
["Titans","Texans","false","0","26","4","2025-09-28 12:01"],
["Chargers","Giants","false","18","21","4","2025-09-28 12:01"],
["Eagles","Buccaneers","false","31","25","4","2025-09-28 12:01"],
["Texans","Ravens","false","44","10","5","2025-10-05 12:01"],
["Dolphins","Panthers","false","24","27","5","2025-10-05 12:01"],
